Band_8;Band_9;Band_3;Band_10;Band_11;Band_4;Band_12;Band_1;Band_13;Band_14;Band_15;Band_2;Band_16;Band_17;Band_18;Band_19;Band_5;Band_6;Band_7
0;0;0;0;0;0;0;0.000104285;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.0481175;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.136758;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.293207;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;8.83E-05;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.482024;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.628519;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.810956;0;0;0;0;0;0;0;0;0;0
0;0;0.000288076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.04E-05;8.18E-05;0;6.03E-05;0;0;0;0.000136903;0;0.000671996;4.78E-05;4.00E-05;1.07E-05;1.17E-05;2.59E-06;7.07E-06;3.59E-05;4.78E-05;7.68E-05
0;0;0;0;0;0;0;0;0.963823;0;0;0;0;0;0;0;0;0;0
0;0;0.00022991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0.000294636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.997915;0;0;0;0;0;0;0;0;0;0
0;0;0.000318929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.993775;0;0;0;0;0;0;0;0;0;0
0;0;0.000381074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.974399;0;0;0;0;0;0;0;0;0;0
0;0;0.000495929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.900225;0;0;0;0;0;0;0;0;0;0
0;0;0.000537689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.719177;0;0;0;0;0;0;0;0;0;0
0;0;0.000953406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.455352;0;0;0;0;0;0;0;0;0;0
0;0;0.00135005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.206819;0;0;0;0;0;0;0;0;0;0
0;0;0.00182792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.0825571;0;0;0;0;0;0;0;0;0;0
0;0;0.00264805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.12E-05;6.59E-05;0;3.75E-05;0;0;0;4.45E-05;0;0.000979379;8.78E-05;2.97E-05;6.73E-06;6.52E-06;5.44E-06;6.09E-06;5.45E-05;3.42E-05;8.12E-05
0;0;0;0;0;0;0;0;0.0318704;0;0;0;0;0;0;0;0;0;0
0;0;0.00450824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
